true,pred,diff
5,5,0.3673249568579818
5,5,0.056153141435836836
5,5,0.8486955735370821
5,5,0.7057459015973637
5,5,0.5148347804633754
6,6,0.9179034270179669
6,6,0.176818697154943
6,6,0.8296545251521953
6,6,0.37423335034577954
6,6,0.5234707316753563
6,6,0.04992623404228035
6,6,0.3743249505695694
6,6,0.5624213786152611
6,6,0.39877201163788645
6,6,1.0131499693109545
6,6,0.5772038654055944
6,6,0.9084336864046147
6,6,0.1281392150161178
6,6,0.049937192021462094
6,6,0.6042788359738427
6,6,0.3943770164671181
6,6,1.3122669439593333
6,6,1.632229636203029
6,6,0.04984728541169711
6,6,0.8813129957581461
6,6,1.8370981534329656
6,6,0.25663912791415006
6,6,0.05237735548342019
6,6,2.404111933414514
6,6,0.2953172845390228
6,6,0.4994640203466848
6,6,0.7097058706868757
6,6,0.6037364650330213
6,6,3.030198910040341
6,6,0.04976354957522912
6,6,0.32214604481835973
6,6,0.6151558427038812
6,6,1.419930380892456
6,6,0.4942692688608111
6,6,0.3918933685430819
6,6,1.734780513771941
6,6,0.48351210719930177
6,6,0.6863364535298284
6,6,0.38373990484462367
6,6,0.7264467852792652
6,6,0.17372253112593183
6,6,0.6871272466209638
6,6,1.04454008723586
6,6,0.049943222780105934
6,6,0.34310866129541634
6,6,0.5588339231984092
6,6,4.111006698994087
6,6,0.2909005241402101
6,6,0.3599333854154282
6,6,0.05117218646050511
6,6,21.329247694887062
6,6,0.2254652079411867
6,6,0.24279769924947783
6,6,0.645165191548539
6,6,1.8115930390992108
6,6,0.049876059482529454
6,6,0.05100178344300275
6,6,0.5302932388684277
6,6,0.5586025702306119
6,6,1.7042300004617537
6,6,2.409719745414985
6,6,0.6816288941268038
6,6,0.6063423086878894
6,6,0.4410698067959593
6,6,0.5130620858978349
6,6,2.2947398437580753
6,6,0.35955222810853094
6,6,3.494859445023221
6,6,0.5393158040829381
6,6,0.3404174341028455
6,6,0.27456005338450684
6,6,0.2943778498667349
6,6,0.36330191093430986
6,6,0.4049482141259626
